iter	Logloss
0	0.3120316428
1	0.2476729745
2	0.2289112949
3	0.2236535401
4	0.2137473355
5	0.2075416327
6	0.2035459039
7	0.2010756041
8	0.1967980425
9	0.1935438543
10	0.188784664
11	0.186367373
12	0.1818300703
13	0.1817709551
14	0.1760039701
15	0.1742737986
16	0.1692472907
17	0.1662576532
18	0.1620833458
19	0.1606152864
20	0.1590545339
21	0.1578678383
22	0.1552734916
23	0.1491926248
24	0.1464256231
25	0.144663002
26	0.1409023938
27	0.1397140717
28	0.1380997955
29	0.1363415617
30	0.1339409948
31	0.1326282132
32	0.1298642142
33	0.1283454281
34	0.1263233932
35	0.1246624949
36	0.1232709641
37	0.1220265427
38	0.1197456714
39	0.1176958665
40	0.1159382306
41	0.1141970504
42	0.1129472637
43	0.1111248188
44	0.1096241451
45	0.1076073624
46	0.1062267235
47	0.105657868
48	0.1045125205
49	0.1030418434
50	0.1014224461
51	0.1006693893
52	0.09990750965
53	0.09951738798
54	0.09891549949
55	0.09783522799
56	0.09685912383
57	0.09617677663
58	0.0948102308
59	0.0941055536
60	0.09291196358
61	0.09217751586
62	0.09175037323
63	0.09105696568
64	0.09045694063
65	0.08988923645
66	0.08914631363
67	0.08840971014
68	0.08791829268
69	0.08756658987
70	0.08701046812
71	0.08667553024
72	0.08607793283
73	0.08528161508
74	0.0847617143
75	0.08418276933
76	0.08361975322
77	0.0830859771
78	0.08263465788
79	0.08213609342
80	0.08169548987
81	0.08133180222
82	0.08116503042
83	0.08081531495
84	0.08036703629
85	0.07997459705
86	0.07963024273
87	0.07931274527
88	0.07897953249
89	0.07858158774
90	0.07837497094
91	0.07789546253
92	0.07753636972
93	0.07726965549
94	0.07702601772
95	0.07675062869
96	0.07636320595
97	0.07609382408
98	0.07586260663
99	0.07562554202
100	0.07541667201
101	0.07521339532
102	0.07498321966
103	0.07481963459
104	0.07472499317
105	0.07433595721
106	0.07412279611
107	0.07399910596
108	0.07372834787
109	0.07348658376
110	0.07323347481
111	0.07289136167
112	0.0725716116
113	0.07238734765
114	0.07218033927
115	0.07196858147
116	0.07174641114
117	0.07157679004
118	0.07137182074
119	0.0712919557
120	0.07112162123
121	0.07092071925
122	0.07066072436
123	0.07057519682
124	0.07041786793
125	0.07022512647
126	0.07002566207
127	0.06986460029
128	0.06975411421
129	0.06966663602
130	0.06956149125
131	0.06945433928
132	0.06927566625
133	0.0691454306
134	0.06891808559
135	0.06876664536
136	0.06869537031
137	0.06852135167
138	0.06833486458
139	0.06818926248
140	0.06803931216
141	0.06785516489
142	0.06774546919
143	0.06764244169
144	0.06750386748
145	0.06742356155
146	0.06727582895
147	0.06715416224
148	0.06707395976
149	0.06693052005
150	0.06683582509
151	0.06678597478
152	0.06666630505
153	0.06655228818
154	0.06643852275
155	0.06631743528
